a|Library of Congress Subject Headings
b|LC subject headings for children's literature
c|Medical Subject Headings
d|National Agricultural Library subject authority file
k|Canadian Subject Headings
n|Não aplicável
r|Art and Architecture Thesaurus
s|Sears List of Subject Heading
v|Répertoire de vedettes-matière
z|Outro
-|Não se tentou codificar
